series,estimated_min,step,probe_loss,mean_step_s
LOZO full nu50,59.661025,4430,0.3799,0.80805
LOZO full nu50,59.795700,4440,0.4524,0.80805
LOZO full nu50,59.930375,4450,0.3883,0.80805
LOZO full nu50,60.065050,4460,0.4166,0.80805
LOZO full nu50,60.199725,4470,0.424,0.80805
LOZO full nu50,60.334400,4480,0.4631,0.80805
LOZO full nu50,60.469075,4490,0.4147,0.80805
LOZO full nu50,60.603750,4500,0.3785,0.80805
LOZO full nu50,60.738425,4510,0.4247,0.80805
LOZO full nu50,60.873100,4520,0.4241,0.80805
LOZO full nu50,61.007775,4530,0.5236,0.80805
LOZO full nu50,61.142450,4540,0.3626,0.80805
LOZO full nu50,61.277125,4550,0.4117,0.80805
LOZO full nu50,61.411800,4560,0.4654,0.80805
LOZO full nu50,61.546475,4570,0.3731,0.80805
LOZO full nu50,61.681150,4580,0.4019,0.80805
LOZO full nu50,61.815825,4590,0.396,0.80805
LOZO full nu50,61.950500,4600,0.463,0.80805
LOZO full nu50,62.085175,4610,0.4343,0.80805
LOZO full nu50,62.219850,4620,0.421,0.80805
LOZO full nu50,62.354525,4630,0.409,0.80805
LOZO full nu50,62.489200,4640,0.4613,0.80805
LOZO full nu50,62.623875,4650,0.4194,0.80805
LOZO full nu50,62.758550,4660,0.4751,0.80805
LOZO full nu50,62.893225,4670,0.4074,0.80805
LOZO full nu50,63.027900,4680,0.4076,0.80805
LOZO full nu50,63.162575,4690,0.449,0.80805
LOZO full nu50,63.297250,4700,0.4393,0.80805
LOZO full nu50,63.431925,4710,0.3881,0.80805
LOZO full nu50,63.566600,4720,0.4467,0.80805
LOZO full nu50,63.701275,4730,0.337,0.80805
LOZO full nu50,63.835950,4740,0.4331,0.80805
LOZO full nu50,63.970625,4750,0.3754,0.80805
LOZO full nu50,64.105300,4760,0.3708,0.80805
LOZO full nu50,64.239975,4770,0.4774,0.80805
LOZO full nu50,64.374650,4780,0.4186,0.80805
LOZO full nu50,64.509325,4790,0.4419,0.80805
LOZO full nu50,64.644000,4800,0.4195,0.80805
LOZO full nu50,64.778675,4810,0.4619,0.80805
LOZO full nu50,64.913350,4820,0.3719,0.80805
LOZO full nu50,65.048025,4830,0.4141,0.80805
LOZO full nu50,65.182700,4840,0.4132,0.80805
LOZO full nu50,65.317375,4850,0.414,0.80805
LOZO full nu50,65.452050,4860,0.4601,0.80805
LOZO full nu50,65.586725,4870,0.4508,0.80805
LOZO full nu50,65.721400,4880,0.4145,0.80805
LOZO full nu50,65.856075,4890,0.4183,0.80805
LOZO full nu50,65.990750,4900,0.5014,0.80805
LOZO full nu50,66.125425,4910,0.3849,0.80805
LOZO full nu50,66.260100,4920,0.4384,0.80805
LOZO full nu50,66.394775,4930,0.3823,0.80805
LOZO full nu50,66.529450,4940,0.4368,0.80805
LOZO full nu50,66.664125,4950,0.4478,0.80805
LOZO full nu50,66.798800,4960,0.4676,0.80805
LOZO full nu50,66.933475,4970,0.342,0.80805
