series,step,probe_loss
LOZO lora_only nu50,660,0.7724
LOZO lora_only nu50,670,0.777
LOZO lora_only nu50,680,0.6507
LOZO lora_only nu50,690,0.6171
LOZO lora_only nu50,700,0.6875
LOZO lora_only nu50,710,0.6634
LOZO lora_only nu50,720,0.6027
LOZO lora_only nu50,730,0.7894
LOZO lora_only nu50,740,0.7599
LOZO lora_only nu50,750,0.8237
LOZO lora_only nu50,760,0.634
LOZO lora_only nu50,770,0.6567
LOZO lora_only nu50,780,0.7331
LOZO lora_only nu50,790,0.663
LOZO lora_only nu50,800,0.725
LOZO lora_only nu50,810,0.7075
LOZO lora_only nu50,820,0.6685
LOZO lora_only nu50,830,0.6433
LOZO lora_only nu50,840,0.7426
LOZO lora_only nu50,850,0.6264
LOZO lora_only nu50,860,0.6977
LOZO lora_only nu50,870,0.7875
LOZO lora_only nu50,880,0.7155
LOZO lora_only nu50,890,0.7298
LOZO lora_only nu50,900,0.8785
LOZO lora_only nu50,910,0.6194
LOZO lora_only nu50,920,0.7021
LOZO lora_only nu50,930,0.6692
LOZO lora_only nu50,940,0.6171
LOZO lora_only nu50,950,0.73
LOZO lora_only nu50,960,0.6631
LOZO lora_only nu50,970,0.7368
LOZO lora_only nu50,980,0.674
LOZO lora_only nu50,990,0.603
LOZO lora_only nu50,1000,0.5514
LOZO lora_only nu50,1010,0.6065
LOZO lora_only nu50,1020,0.7073
LOZO lora_only nu50,1030,0.6653
LOZO lora_only nu50,1040,0.6042
LOZO lora_only nu50,1050,0.5681
LOZO lora_only nu50,1060,0.7288
LOZO lora_only nu50,1070,0.6018
LOZO lora_only nu50,1080,0.547
LOZO lora_only nu50,1090,0.6325
LOZO lora_only nu50,1100,0.5423
LOZO lora_only nu50,1110,0.6509
LOZO lora_only nu50,1120,0.684
LOZO lora_only nu50,1130,0.6445
LOZO lora_only nu50,1140,0.6502
LOZO lora_only nu50,1150,0.4565
LOZO lora_only nu50,1160,0.5977
LOZO lora_only nu50,1170,0.61
LOZO lora_only nu50,1180,0.7138
LOZO lora_only nu50,1190,0.6487
LOZO lora_only nu50,1200,0.6601
LOZO lora_only nu50,1210,0.6474
LOZO lora_only nu50,1220,0.5718
LOZO lora_only nu50,1230,0.6915
LOZO lora_only nu50,1240,0.4481
LOZO lora_only nu50,1250,0.7059
LOZO lora_only nu50,1260,0.5498
LOZO lora_only nu50,1270,0.6421
LOZO lora_only nu50,1280,0.6107
LOZO lora_only nu50,1290,0.4761
LOZO lora_only nu50,1300,0.5852
LOZO lora_only nu50,1310,0.7176
LOZO lora_only nu50,1320,0.5826
LOZO lora_only nu50,1330,0.6755
LOZO lora_only nu50,1340,0.5892
LOZO lora_only nu50,1350,0.6187
LOZO lora_only nu50,1360,0.5908
LOZO lora_only nu50,1370,0.5904
LOZO lora_only nu50,1380,0.5929
LOZO lora_only nu50,1390,0.5157
LOZO lora_only nu50,1400,0.6155
LOZO lora_only nu50,1410,0.5827
LOZO lora_only nu50,1420,0.6111
LOZO lora_only nu50,1430,0.6438
LOZO lora_only nu50,1440,0.6066
LOZO lora_only nu50,1450,0.5511
LOZO lora_only nu50,1460,0.5177
LOZO lora_only nu50,1470,0.6195
LOZO lora_only nu50,1480,0.6059
LOZO lora_only nu50,1490,0.5185
LOZO lora_only nu50,1500,0.6756
LOZO lora_only nu50,1510,0.5566
LOZO lora_only nu50,1520,0.5206
LOZO lora_only nu50,1530,0.6277
LOZO lora_only nu50,1540,0.4962
LOZO lora_only nu50,1550,0.5624
LOZO lora_only nu50,1560,0.6037
LOZO lora_only nu50,1570,0.6287
LOZO lora_only nu50,1580,0.5841
LOZO lora_only nu50,1590,0.5612
LOZO lora_only nu50,1600,0.5669
LOZO lora_only nu50,1610,0.6174
LOZO lora_only nu50,1620,0.6199
LOZO lora_only nu50,1630,0.5313
LOZO lora_only nu50,1640,0.5649
LOZO lora_only nu50,1650,0.5941
LOZO lora_only nu50,1660,0.5207
LOZO lora_only nu50,1670,0.5415
LOZO lora_only nu50,1680,0.5927
LOZO lora_only nu50,1690,0.6022
LOZO lora_only nu50,1700,0.5141
LOZO lora_only nu50,1710,0.5166
LOZO lora_only nu50,1720,0.5541
LOZO lora_only nu50,1730,0.6083
LOZO lora_only nu50,1740,0.5787
LOZO lora_only nu50,1750,0.5565
LOZO lora_only nu50,1760,0.5355
LOZO lora_only nu50,1770,0.4934
LOZO lora_only nu50,1780,0.4628
LOZO lora_only nu50,1790,0.6456
LOZO lora_only nu50,1800,0.5644
LOZO lora_only nu50,1810,0.5453
LOZO lora_only nu50,1820,0.5809
LOZO lora_only nu50,1830,0.4957
LOZO lora_only nu50,1840,0.5587
LOZO lora_only nu50,1850,0.5129
LOZO lora_only nu50,1860,0.585
LOZO lora_only nu50,1870,0.546
LOZO lora_only nu50,1880,0.5058
